0.157484,10,0.1,1,1
0.13053,10,0.1,1,3
0.129014,10,0.1,1,5
0.124798,10,0.1,11,3
0.121882,10,0.1,11,5
0.121711,10,0.1,21,5
0.121678,10,0.1,31,5
0.121666,10,0.1,41,5
0.12166,10,0.1,51,5
0.121657,10,0.1,61,5
0.121656,10,0.1,71,5
0.121654,10,0.1,81,5
0.121654,10,0.1,91,5
0.121636,10,0.3,21,5
0.121567,10,0.3,21,7
0.121537,10,0.3,31,7
0.121526,10,0.3,41,7
0.121521,10,0.3,51,7
0.121519,10,0.3,61,7
0.121517,10,0.3,71,7
0.121516,10,0.3,81,7
0.121515,10,0.3,91,7
0.121449,10,0.4,21,7
0.121419,10,0.4,31,7
0.121408,10,0.4,41,7
0.121403,10,0.4,51,7
0.1214,10,0.4,61,7
0.121398,10,0.4,71,7
0.121397,10,0.4,81,7
0.121396,10,0.4,91,7
0.121344,10,0.6,21,7
0.121309,10,0.6,31,7
0.121296,10,0.6,41,7
0.12129,10,0.6,51,7
0.121287,10,0.6,61,7
0.121285,10,0.6,71,7
0.121284,10,0.6,81,7
0.121283,10,0.6,91,7
0.121239,10,0.7,21,7
0.121201,10,0.7,31,7
0.121188,10,0.7,41,7
0.121181,10,0.7,51,7
0.121178,10,0.7,61,7
0.121176,10,0.7,71,7
0.121174,10,0.7,81,7
0.121173,10,0.7,91,7
